Name,Parent1,Parent2,Element,HP,ATK,DEF
Fox,,,Fire,100,50,40
Cat,,,Neutral,90,45,45
Dog,,,Water,110,55,50
Penguin,,,Ice,95,40,60
Bird,,,Neutral,80,60,30
Bear,,,Neutral,150,70,80
Wolf,,,Neutral,120,65,55
Sheep,,,Neutral,100,30,40
FireFox,Fox,Cat,Fire,130,70,50
WaterDog,Dog,Penguin,Water,140,65,70
ThunderBird,Bird,Fox,Electric,110,85,40
IceBear,Bear,Penguin,Ice,180,80,100
EarthWolf,Wolf,Dog,Ground,150,75,80
WindSheep,Sheep,Bird,Grass,120,50,60
FlameWolf,FireFox,EarthWolf,Fire,170,90,70
FrostDog,WaterDog,IceBear,Ice,160,85,90
StormBird,ThunderBird,WindSheep,Electric,140,100,50
MagmaBear,FireFox,IceBear,Fire,200,95,110
MudDog,WaterDog,EarthWolf,Ground,160,80,100
CrystalFox,IceBear,Fox,Ice,150,90,70
LavaSheep,FireFox,Sheep,Fire,140,60,80
InfernoHound,FlameWolf,StormBird,Fire,220,110,85
GlacierBeast,FrostDog,MagmaBear,Ice,250,105,130
TempestEagle,StormBird,MudDog,Electric,180,120,70
ShadowDragon,InfernoHound,GlacierBeast,Dark,300,140,120
LightDragon,TempestEagle,GlacierBeast,Light,300,130,140
ChaosKnight,ShadowDragon,LightDragon,Dark,400,160,150
AstralKing,ChaosKnight,CrystalFox,Neutral,500,180,180
